Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate
215,1848136.4617,1867955.0774,19818.6157,2000,8.4235,9.9093,0.0092
216,1867955.0774,1886769.5501,18814.4728,2000,8.5010,9.4072,0.0500
217,1886769.5501,1909424.8652,22655.3151,2000,8.9256,11.3277,-0.0500
218,1909424.8652,1928648.6002,19223.7351,2000,8.4793,9.6119,0.0404
219,1928648.6002,1948920.5688,20271.9685,2000,8.8212,10.1360,-0.0134
220,1948920.5688,1969546.6507,20626.0819,2000,8.7034,10.3130,-0.0304
221,1969546.6507,1988536.3521,18989.7014,2000,8.4392,9.4949,0.0500
222,1988536.3521,2010970.9715,22434.6194,2000,8.8616,11.2173,-0.0500
223,2010970.9715,2030574.1919,19603.2204,2000,8.4181,9.8016,0.0202
224,2030574.1919,2050609.0896,20034.8977,2000,8.5885,10.0174,-0.0017
225,2050609.0896,2071560.1459,20951.0563,2000,8.5730,10.4755,-0.0454
226,2071560.1459,2091338.3811,19778.2352,2000,8.1839,9.8891,0.0112
227,2091338.3811,2111440.0348,20101.6538,2000,8.2752,10.0508,-0.0051
228,2111440.0348,2130942.8775,19502.8426,2000,8.2338,9.7514,0.0255
229,2130942.8775,2150180.4566,19237.5791,2000,8.4432,9.6188,0.0396
230,2150180.4566,2171828.2435,21647.7869,2000,8.7778,10.8239,-0.0500
231,2171828.2435,2191730.8223,19902.5788,2000,8.3385,9.9513,0.0049
232,2191730.8223,2212891.6824,21160.8601,2000,8.3793,10.5804,-0.0500
233,2212891.6824,2232259.7776,19368.0952,2000,7.9599,9.6840,0.0326
234,2232259.7776,2251687.5418,19427.7642,2000,8.2196,9.7139,0.0295
235,2251687.5418,2271635.9629,19948.4211,2000,8.4612,9.9742,0.0026
236,2271635.9629,2291668.8048,20032.8419,2000,8.4836,10.0164,-0.0016
237,2291668.8048,2311352.6801,19683.8754,2000,8.4696,9.8419,0.0161
238,2311352.6801,2332383.3095,21030.6294,2000,8.6057,10.5153,-0.0490
239,2332383.3095,2352572.9546,20189.6451,2000,8.1839,10.0948,-0.0094
240,2352572.9546,2371721.5031,19148.5485,2000,8.1071,9.5743,0.0445
241,2371721.5031,2390724.0726,19002.5695,2000,8.4671,9.5013,0.0500
242,2390724.0726,2410753.9766,20029.9040,2000,8.8909,10.0150,-0.0015
243,2410753.9766,2431858.8451,21104.8685,2000,8.8772,10.5524,-0.0500
244,2431858.8451,2451928.7544,20069.9093,2000,8.4338,10.0350,-0.0035
245,2451928.7544,2471010.6250,19081.8706,2000,8.4044,9.5409,0.0481
246,2471010.6250,2492260.8830,21250.2580,2000,8.8093,10.6251,-0.0500
247,2492260.8830,2510957.7455,18696.8625,2000,8.3683,9.3484,0.0500
248,2510957.7455,2531666.4543,20708.7088,2000,8.7868,10.3544,-0.0342
249,2531666.4543,2551694.7451,20028.2908,2000,8.4860,10.0141,-0.0014
250,2551694.7451,2572780.0184,21085.2733,2000,8.4741,10.5426,-0.0500
251,2572780.0184,2590669.5487,17889.5302,2000,8.0499,8.9448,0.0500
252,2590669.5487,2609969.3258,19299.7772,2000,8.4529,9.6499,0.0363
253,2609969.3258,2631154.9947,21185.6689,2000,8.7596,10.5928,-0.0500
254,2631154.9947,2650503.3545,19348.3598,2000,8.3220,9.6742,0.0337
255,2650503.3545,2670071.8288,19568.4744,2000,8.6023,9.7842,0.0221
256,2670071.8288,2691138.0879,21066.2591,2000,8.7925,10.5331,-0.0500
257,2691138.0879,2709805.0360,18666.9481,2000,8.3524,9.3335,0.0500
258,2709805.0360,2730017.6609,20212.6249,2000,8.7700,10.1063,-0.0105
259,2730017.6609,2750624.2586,20606.5977,2000,8.6773,10.3033,-0.0294
260,2750624.2586,2769788.3588,19164.1001,2000,8.4219,9.5821,0.0436
261,2769788.3588,2790462.2048,20673.8460,2000,8.7887,10.3369,-0.0326
262,2790462.2048,2811887.7292,21425.5244,2000,8.5027,10.7128,-0.0500
263,2811887.7292,2830065.6946,18177.9654,2000,8.0772,9.0890,0.0500
264,2830065.6946,2850122.9425,20057.2479,2000,8.4815,10.0286,-0.0029
265,2850122.9425,2869383.3895,19260.4470,2000,8.4573,9.6302,0.0384
266,2869383.3895,2890724.7935,21341.4041,2000,8.7825,10.6707,-0.0500
267,2890724.7935,2909484.0151,18759.2216,2000,8.3429,9.3796,0.0500
268,2909484.0151,2929814.6569,20330.6418,2000,8.7601,10.1653,-0.0163
269,2929814.6569,2949434.5774,19619.9205,2000,8.6176,9.8100,0.0194
270,2949434.5774,2970113.3652,20678.7878,2000,8.7845,10.3394,-0.0328
271,2970113.3652,2989467.6158,19354.2506,2000,8.4962,9.6771,0.0334
272,2989467.6158,3010377.0945,20909.4787,2000,8.7796,10.4547,-0.0435
273,3010377.0945,3030550.3280,20173.2335,2000,8.3978,10.0866,-0.0086
274,3030550.3280,3049801.7695,19251.4415,2000,8.3257,9.6257,0.0389
275,3049801.7695,3070752.2284,20950.4589,2000,8.6489,10.4752,-0.0454
276,3070752.2284,3090250.2306,19498.0022,2000,8.2565,9.7490,0.0257
277,3090250.2306,3109915.9955,19665.7649,2000,8.4691,9.8329,0.0170
278,3109915.9955,3132695.0397,22779.0442,2000,8.6135,11.3895,-0.0500
279,3132695.0397,3151338.9555,18643.9158,2000,8.1824,9.3220,0.0500
280,3151338.9555,3172394.3813,21055.4258,2000,8.5920,10.5277,-0.0500
281,3172394.3813,3192158.6513,19764.2700,2000,8.1624,9.8821,0.0119
282,3192158.6513,3212596.9644,20438.3132,2000,8.2602,10.2192,-0.0214
283,3212596.9644,3232399.4910,19802.5266,2000,8.0826,9.9013,0.0100
284,3232399.4910,3252153.5992,19754.1082,2000,8.1632,9.8771,0.0124
285,3252153.5992,3270608.1524,18454.5532,2000,8.2648,9.2273,0.0500
286,3270608.1524,3290209.2452,19601.0928,2000,8.6785,9.8005,0.0204
287,3290209.2452,3311958.5911,21749.3459,2000,8.8547,10.8747,-0.0500
288,3311958.5911,3332210.7215,20252.1304,2000,8.4119,10.1261,-0.0124
289,3332210.7215,3352827.8020,20617.0805,2000,8.3072,10.3085,-0.0299
290,3352827.8020,3371636.6044,18808.8024,2000,8.0590,9.4044,0.0500
291,3371636.6044,3391940.0332,20303.4288,2000,8.4620,10.1517,-0.0149
292,3391940.0332,3411374.9847,19434.9515,2000,8.3355,9.7175,0.0291
293,3411374.9847,3430736.6110,19361.6263,2000,8.5779,9.6808,0.0330
294,3430736.6110,3452367.7907,21631.1797,2000,8.8607,10.8156,-0.0500
295,3452367.7907,3472790.3926,20422.6019,2000,8.4172,10.2113,-0.0207
296,3472790.3926,3493349.5352,20559.1426,2000,8.2435,10.2796,-0.0272
297,3493349.5352,3511014.7287,17665.1935,2000,8.0188,8.8326,0.0500
298,3511014.7287,3530433.8246,19419.0959,2000,8.4202,9.7095,0.0299
299,3530433.8246,3551951.8439,21518.0193,2000,8.6716,10.7590,-0.0500
300,3551951.8439,3570550.4154,18598.5715,2000,8.2385,9.2993,0.0500
301,3570550.4154,3590884.3395,20333.9240,2000,8.6499,10.1670,-0.0164
302,3590884.3395,3611239.8131,20355.4737,2000,8.5079,10.1777,-0.0175
303,3611239.8131,3631239.8735,20000.0604,2000,8.3589,10.0000,-0.0000
304,3631239.8735,3651113.6376,19873.7640,2000,8.3593,9.9369,0.0064
305,3651113.6376,3670381.7782,19268.1406,2000,8.4124,9.6341,0.0380
306,3670381.7782,3691868.8787,21487.1005,2000,8.7324,10.7436,-0.0500
307,3691868.8787,3711248.6534,19379.7747,2000,8.2953,9.6899,0.0320
308,3711248.6534,3731405.2689,20156.6155,2000,8.5608,10.0783,-0.0078
309,3731405.2689,3752631.3282,21226.0594,2000,8.4938,10.6130,-0.0500
310,3752631.3282,3772381.0081,19749.6799,2000,8.0696,9.8748,0.0127
311,3772381.0081,3793307.5172,20926.5091,2000,8.1714,10.4633,-0.0443
312,3793307.5172,3812432.5920,19125.0748,2000,7.8096,9.5625,0.0457
313,3812432.5920,3832003.1310,19570.5390,2000,8.1669,9.7853,0.0219
314,3832003.1310,3852588.6997,20585.5687,2000,8.3461,10.2928,-0.0284
315,3852588.6997,3870955.2304,18366.5307,2000,8.1087,9.1833,0.0500
316,3870955.2304,3890852.3408,19897.1104,2000,8.5141,9.9486,0.0052
317,3890852.3408,3911246.1248,20393.7841,2000,8.5582,10.1969,-0.0193
318,3911246.1248,3931273.3612,20027.2364,2000,8.3934,10.0136,-0.0014
319,3931273.3612,3951438.5703,20165.2091,2000,8.3815,10.0826,-0.0082
320,3951438.5703,3970831.2703,19392.7000,2000,8.3133,9.6963,0.0313
321,3970831.2703,3993100.9077,22269.6374,2000,8.5731,11.1348,-0.0500
322,3993100.9077,4011538.4294,18437.5217,2000,8.1445,9.2188,0.0500
323,4011538.4294,4030027.5242,18489.0948,2000,8.5512,9.2445,0.0500
324,4030027.5242,4050516.8048,20489.2806,2000,8.9793,10.2446,-0.0239
325,4050516.8048,4072687.1395,22170.3347,2000,8.7649,11.0852,-0.0500
326,4072687.1395,4091219.2841,18532.1447,2000,8.3266,9.2661,0.0500
327,4091219.2841,4111924.7159,20705.4318,2000,8.7430,10.3527,-0.0341
328,4111924.7159,4130894.9525,18970.2365,2000,8.4456,9.4851,0.0500
329,4130894.9525,4153318.6596,22423.7071,2000,8.8673,11.2119,-0.0500
330,4153318.6596,4174267.1067,20948.4472,2000,8.4240,10.4742,-0.0453
331,4174267.1067,4193655.3008,19388.1941,2000,8.0421,9.6941,0.0316
332,4193655.3008,4213805.4348,20150.1340,2000,8.2959,10.0751,-0.0075
333,4213805.4348,4232434.1852,18628.7504,2000,8.2336,9.3144,0.0500
334,4232434.1852,4254238.3965,21804.2113,2000,8.6458,10.9021,-0.0500
335,4254238.3965,4274311.7906,20073.3941,2000,8.2131,10.0367,-0.0037
336,4274311.7906,4295152.5723,20840.7817,2000,8.1835,10.4204,-0.0403
337,4295152.5723,4314329.7749,19177.2027,2000,7.8533,9.5886,0.0429
338,4314329.7749,4333774.4890,19444.7140,2000,8.1907,9.7224,0.0286
