Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Fix Rate, Machine Amount
189,5780438.8115,5810438.8115,30000.0000,3000,10.0000,0.0000,75
190,5810438.8115,5840438.8115,30000.0000,3000,10.0000,0.0000,75
191,5840438.8115,5870438.8115,30000.0000,3000,10.0000,0.0000,75
192,5870438.8115,5900438.8115,30000.0000,3000,10.0000,0.0000,75
193,5900438.8115,5930438.8115,30000.0000,3000,10.0000,0.0000,75
194,5930438.8115,5960438.8115,30000.0000,3000,10.0000,0.0000,75
195,5960438.8115,5990438.8115,30000.0000,3000,10.0000,0.0000,75
196,5990438.8115,6020438.8115,30000.0000,3000,10.0000,0.0000,75
197,6020438.8115,6050438.8115,30000.0000,3000,10.0000,0.0000,75
198,6050438.8115,6080438.8115,30000.0000,3000,10.0000,0.0000,75
199,6080438.8115,6110438.8115,30000.0000,3000,10.0000,0.0000,75
200,6110438.8115,6140438.8115,30000.0000,3000,10.0000,0.0000,75
201,6140438.8115,6170438.8115,30000.0000,3000,10.0000,0.0000,75
202,6170438.8115,6200438.8115,30000.0000,3000,10.0000,0.0000,75
203,6200438.8115,6230438.8115,30000.0000,3000,10.0000,0.0000,75
204,6230438.8115,6260438.8115,30000.0000,3000,10.0000,0.0000,75
205,6260438.8115,6290438.8115,30000.0000,3000,10.0000,0.0000,75
206,6290438.8115,6320438.8115,30000.0000,3000,10.0000,0.0000,75
207,6320438.8115,6350438.8115,30000.0000,3000,10.0000,0.0000,75
208,6350438.8115,6380438.8115,30000.0000,3000,10.0000,0.0000,75
209,6380438.8115,6410438.8115,30000.0000,3000,10.0000,0.0000,75
210,6410438.8115,6440438.8115,30000.0000,3000,10.0000,0.0000,75
211,6440438.8115,6470438.8115,30000.0000,3000,10.0000,0.0000,75
212,6470438.8115,6500438.8115,30000.0000,3000,10.0000,0.0000,75
213,6500438.8115,6530438.8115,30000.0000,3000,10.0000,0.0000,75
214,6530438.8115,6560438.8115,30000.0000,3000,10.0000,0.0000,75
215,6560438.8115,6590438.8115,30000.0000,3000,10.0000,0.0000,75
216,6590438.8115,6620438.8115,30000.0000,3000,10.0000,0.0000,75
217,6620438.8115,6650438.8115,30000.0000,3000,10.0000,0.0000,75
218,6650438.8115,6680438.8115,30000.0000,3000,10.0000,0.0000,75
219,6680438.8115,6710438.8115,30000.0000,3000,10.0000,0.0000,75
220,6710438.8115,6740438.8115,30000.0000,3000,10.0000,0.0000,75
221,6740438.8115,6770438.8115,30000.0000,3000,10.0000,0.0000,75
222,6770438.8115,6800438.8115,30000.0000,3000,10.0000,0.0000,75
223,6800438.8115,6830438.8115,30000.0000,3000,10.0000,0.0000,75
224,6830438.8115,6860438.8115,30000.0000,3000,10.0000,0.0000,75
225,6860438.8115,6890438.8115,30000.0000,3000,10.0000,0.0000,75
226,6890438.8115,6920438.8115,30000.0000,3000,10.0000,0.0000,75
227,6920438.8115,6950438.8115,30000.0000,3000,10.0000,0.0000,75
228,6950438.8115,6980438.8115,30000.0000,3000,10.0000,0.0000,75
229,6980438.8115,7010438.8115,30000.0000,3000,10.0000,0.0000,75
230,7010438.8115,7040438.8115,30000.0000,3000,10.0000,0.0000,75
231,7040438.8115,7070438.8115,30000.0000,3000,10.0000,0.0000,75
232,7070438.8115,7100438.8115,30000.0000,3000,10.0000,0.0000,75
233,7100438.8115,7130438.8115,30000.0000,3000,10.0000,0.0000,75
234,7130438.8115,7160438.8115,30000.0000,3000,10.0000,0.0000,75
235,7160438.8115,7190438.8115,30000.0000,3000,10.0000,0.0000,75
236,7190438.8115,7220438.8115,30000.0000,3000,10.0000,0.0000,75
237,7220438.8115,7250438.8115,30000.0000,3000,10.0000,0.0000,75
238,7250438.8115,7280438.8115,30000.0000,3000,10.0000,0.0000,75
239,7280438.8115,7310438.8115,30000.0000,3000,10.0000,0.0000,75
240,7310438.8115,7340438.8115,30000.0000,3000,10.0000,0.0000,75
241,7340438.8115,7370438.8115,30000.0000,3000,10.0000,0.0000,75
242,7370438.8115,7400438.8115,30000.0000,3000,10.0000,0.0000,75
243,7400438.8115,7430438.8115,30000.0000,3000,10.0000,0.0000,75
244,7430438.8115,7460438.8115,30000.0000,3000,10.0000,0.0000,75
245,7460438.8115,7490438.8115,30000.0000,3000,10.0000,0.0000,75
246,7490438.8115,7520438.8115,30000.0000,3000,10.0000,0.0000,75
247,7520438.8115,7550438.8115,30000.0000,3000,10.0000,0.0000,75
248,7550438.8115,7580438.8115,30000.0000,3000,10.0000,0.0000,75
249,7580438.8115,7610438.8115,30000.0000,3000,10.0000,0.0000,75
250,7610438.8115,7640438.8115,30000.0000,3000,10.0000,0.0000,75
251,7640438.8115,7670438.8115,30000.0000,3000,10.0000,0.0000,75
252,7670438.8115,7700438.8115,30000.0000,3000,10.0000,0.0000,75
253,7700438.8115,7730438.8115,30000.0000,3000,10.0000,0.0000,75
254,7730438.8115,7760438.8115,30000.0000,3000,10.0000,0.0000,75
255,7760438.8115,7790438.8115,30000.0000,3000,10.0000,0.0000,75
256,7790438.8115,7820438.8115,30000.0000,3000,10.0000,0.0000,75
257,7820438.8115,7850438.8115,30000.0000,3000,10.0000,0.0000,75
258,7850438.8115,7880438.8115,30000.0000,3000,10.0000,0.0000,75
259,7880438.8115,7910438.8115,30000.0000,3000,10.0000,0.0000,75
260,7910438.8115,7940438.8115,30000.0000,3000,10.0000,0.0000,75
261,7940438.8115,7970438.8115,30000.0000,3000,10.0000,0.0000,75
